"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 30 16:48:23 BRT 2022","Fri Sep 30 16:48:23 BRT 2022","373","","Funcionalidade: Manter Regras","","","","deve consultar uma regra e não encontrar ela",""
"passed","Fri Sep 30 16:48:23 BRT 2022","Fri Sep 30 16:48:24 BRT 2022","295","","Funcionalidade: Manter Regras","","","","não deve adicionar uma regra com sucesso",""
"passed","Fri Sep 30 16:49:21 BRT 2022","Fri Sep 30 16:49:21 BRT 2022","233","","","","","","[POST] - Teste de autenticação usuário válido",""
"passed","Fri Sep 30 16:48:23 BRT 2022","Fri Sep 30 16:48:23 BRT 2022","327","","Funcionalidade: Manter Regras","","","","deve adicionar uma regra com sucesso",""
"passed","Fri Sep 30 16:48:22 BRT 2022","Fri Sep 30 16:48:23 BRT 2022","388","","Funcionalidade: Manter Regras","","","","deve consultar uma regra com sucesso",""
"passed","Fri Sep 30 16:49:18 BRT 2022","Fri Sep 30 16:49:19 BRT 2022","298","","Funcionalidade: Manter Regras","","","","[POST] - Não deve adicionar uma regra com sucesso",""
"passed","Fri Sep 30 16:49:17 BRT 2022","Fri Sep 30 16:49:18 BRT 2022","303","","Funcionalidade: Manter Regras","","","","[GET] - Deve consultar uma regra com sucesso",""
"passed","Fri Sep 30 16:49:21 BRT 2022","Fri Sep 30 16:49:21 BRT 2022","85","","","","","","[POST] - Teste de autenticação com usuário inválido",""
"passed","Fri Sep 30 16:49:18 BRT 2022","Fri Sep 30 16:49:18 BRT 2022","285","","Funcionalidade: Manter Regras","","","","[GET] - Deve consultar uma regra e não encontrar ela",""
"passed","Fri Sep 30 16:49:18 BRT 2022","Fri Sep 30 16:49:18 BRT 2022","294","","Funcionalidade: Manter Regras","","","","[POST] - Deve adicionar uma regra com sucesso",""
